Plug-in date;Total mileage;State of charge when plugged in;Unplug date;State of charge when unplugged;Charging location;Location address;US: Tag; Cost* ;Energy charged*;Energy rate 1;Energy rate 2;Charged time;Precondition for departure;;
29/06/2023 20:43;17.051 km;7%;29/06/2023 21:45;85%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;45.82 EUR;~ 58 kWh;"0.79 EUR/kWh  (All day)";--;1h 00min;Off;;
25/06/2023 10:22;16.703 km;49%;25/06/2023 10:58;90%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;24.49 EUR;~ 31 kWh;"0.79 EUR/kWh  (All day)";--;35 min;Off;;
25/06/2023 10:21;16.703 km;49%;25/06/2023 10:22;49%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;-- EUR;0 kWh;"0.79 EUR/kWh  (All day)";--;0 min;Off;;
22/06/2023 20:03;16.528 km;23%;22/06/2023 20:58;90%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;38.71 EUR;~ 49 kWh;"0.79 EUR/kWh  (All day)";--;52 min;Off;;
15/06/2023 20:31;16.444 km;8%;15/06/2023 20:59;44%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;21.33 EUR;~ 27 kWh;"0.79 EUR/kWh  (All day)";--;28 min;Off;;
11/06/2023 14:35;16.139 km;36%;11/06/2023 15:10;80%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;25.28 EUR;~ 32 kWh;"0.79 EUR/kWh  (All day)";--;34 min;Off;;
08/06/2023 21:36;15.915 km;60%;08/06/2023 22:09;95%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;20.54 EUR;~ 26 kWh;"0.79 EUR/kWh  (All day)";--;31 min;Off;;
08/06/2023 13:14;15.913 km;38%;08/06/2023 17:33;60%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 7.36 EUR;~ 19 kWh;"0.39 EUR/kWh  (All day)";--;4h 18min;Off;;
05/06/2023 12:38;15.818 km;32%;05/06/2023 16:54;54%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 7.26 EUR;~ 19 kWh;"0.39 EUR/kWh  (All day)";--;4h 15min;Off;;
03/06/2023 13:53;15.633 km;76%;03/06/2023 15:19;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 1.28 EUR;~ 3 kWh;"0.39 EUR/kWh  (All day)";--;44 min;Off;;
02/06/2023 12:53;15.620 km;56%;02/06/2023 17:26;78%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 7.76 EUR;~ 20 kWh;"0.39 EUR/kWh  (All day)";--;4h 33min;Off;;
