Plug-in date;Total mileage;State of charge when plugged in;Unplug date;State of charge when unplugged;Charging location;Location address;US: Tag; Cost* ;Energy charged*;Energy rate 1;Energy rate 2;Charged time;Precondition for departure;;
26/08/2023 10:29;18.999 km;41%;26/08/2023 11:11;92%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;30.02 EUR;~ 38 kWh;"0.79 EUR/kWh  (All day)";--;42 min;Off;;
21/08/2023 20:07;18.884 km;10%;21/08/2023 20:50;67%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;33.97 EUR;~ 43 kWh;"0.79 EUR/kWh  (All day)";--;43 min;Off;;
13/08/2023 19:22;18.515 km;15%;13/08/2023 20:28;95%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;46.61 EUR;~ 59 kWh;"0.79 EUR/kWh  (All day)";--;1h 05min;Off;;
13/08/2023 19:20;18.515 km;15%;13/08/2023 19:21;15%;Mechelsesteenweg 13;Mechelsesteenweg 13, 1910 Kampenhout;--;-- EUR;0 kWh;"0.79 EUR/kWh  (All day)";--;0 min;Off;;
06/08/2023 14:55;18.194 km;31%;06/08/2023 15:45;90%;HPC/DC Powerland;MECHELSESTEENWEG 13 1910 KAMPENHOUT ;Public;33.97 EUR;~ 43 kWh;"0.79 EUR/kWh  (All day)";--;47 min;Off;;
