Plug-in date;Total mileage;State of charge when plugged in;Unplug date;State of charge when unplugged;Charging location;Location address;US: Tag; Cost* ;Energy charged*;Energy rate 1;Energy rate 2;Charged time;Precondition for departure;;
30/04/2023 18:02;13.789 km;26%;01/05/2023 08:39;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 18.24 EUR;~ 47 kWh;"0.39 EUR/kWh  (All day)";--;11h 00min;Off;;
30/04/2023 17:11;13.784 km;24%;30/04/2023 17:44;27%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 0.91 EUR;~ 2 kWh;"0.39 EUR/kWh  (All day)";--;32 min;Off;;
30/04/2023 15:27;13.650 km;21%;30/04/2023 15:49;65%;HPC/DC Allego;DIKSMUIDESTRAAT 29 8433 MIDDELKERKE ;Public;-- EUR;~ 32 kWh;--;--;21 min;Off;;
27/04/2023 21:58;13.449 km;32%;28/04/2023 18:28;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 15.74 EUR;~ 40 kWh;"0.39 EUR/kWh  (All day)";--;9h 32min;Off;;
25/04/2023 18:25;13.264 km;37%;26/04/2023 09:17;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 14.02 EUR;~ 36 kWh;"0.39 EUR/kWh  (All day)";--;8h 29min;Off;;
23/04/2023 22:50;13.098 km;41%;24/04/2023 08:03;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 12.69 EUR;~ 32 kWh;"0.39 EUR/kWh  (All day)";--;7h 41min;Off;;
23/04/2023 00:37;12.958 km;37%;23/04/2023 10:04;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 14.04 EUR;~ 36 kWh;"0.39 EUR/kWh  (All day)";--;8h 29min;Off;;
22/04/2023 08:58;12.813 km;67%;22/04/2023 11:10;78%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 3.64 EUR;~ 9 kWh;"0.39 EUR/kWh  (All day)";--;2h 11min;Off;;
20/04/2023 16:42;12.760 km;43%;21/04/2023 11:16;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 12.17 EUR;~ 31 kWh;"0.39 EUR/kWh  (All day)";--;7h 21min;Off;;
18/04/2023 07:59;12.622 km;48%;18/04/2023 19:02;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 10.88 EUR;~ 28 kWh;"0.39 EUR/kWh  (All day)";--;6h 32min;Off;;
16/04/2023 21:22;12.546 km;18%;17/04/2023 07:16;67%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 16.25 EUR;~ 41 kWh;"0.39 EUR/kWh  (All day)";--;9h 53min;Off;;
13/04/2023 20:23;12.328 km;28%;14/04/2023 08:04;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 17.30 EUR;~ 44 kWh;"0.39 EUR/kWh  (All day)";--;10h 30min;Off;;
13/04/2023 18:41;12.206 km;25%;13/04/2023 19:00;61%;HPC/DC IONITY GmbH;36 Rue de Dinant 6922 Wellin ;Public;-- EUR;~ 27 kWh;--;--;18 min;Off;;
12/04/2023 08:31;12.004 km;65%;12/04/2023 18:38;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 4.96 EUR;~ 13 kWh;"0.39 EUR/kWh  (All day)";--;2h 59min;Off;;
08/04/2023 18:44;11.950 km;39%;09/04/2023 08:06;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 13.26 EUR;~ 34 kWh;"0.39 EUR/kWh  (All day)";--;8h 01min;Off;;
08/04/2023 14:48;11.914 km;42%;08/04/2023 15:44;47%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 1.59 EUR;~ 4 kWh;"0.39 EUR/kWh  (All day)";--;55 min;Off;;
08/04/2023 11:24;11.834 km;56%;08/04/2023 12:08;60%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 1.21 EUR;~ 3 kWh;"0.39 EUR/kWh  (All day)";--;43 min;Off;;
05/04/2023 19:54;11.750 km;56%;06/04/2023 13:37;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 8.02 EUR;~ 20 kWh;"0.39 EUR/kWh (All day)";--;4h 52min;Off;;
03/04/2023 19:46;11.672 km;56%;04/04/2023 07:22;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 8 EUR;~ 20 kWh;"0.39 EUR/kWh  (All day)";--;4h 51min;Off;;
02/04/2023 19:14;11.610 km;17%;03/04/2023 06:59;75%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 19.29 EUR;~ 49 kWh;"0.39 EUR/kWh  (All day)";--;11h 45min;On;;
