Plug-in date;Total mileage;State of charge when plugged in;Unplug date;State of charge when unplugged;Charging location;Location address;US: Tag; Cost* ;Energy charged*;Energy rate 1;Energy rate 2;Charged time;Precondition for departure;;
28/11/2023 22:19;23.935 km;40%;29/11/2023 10:57;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 13.23 EUR;~ 34 kWh;"0.39 EUR/kWh  (All day)";--;7h 59min;Off;;
26/11/2023 19:27;23.815 km;27%;27/11/2023 07:32;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 17.24 EUR;~ 44 kWh;"0.39 EUR/kWh  (All day)";--;10h 30min;Off;;
25/11/2023 20:35;23.647 km;52%;26/11/2023 10:18;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 9.01 EUR;~ 23 kWh;"0.39 EUR/kWh  (All day)";--;5h 29min;Off;;
24/11/2023 19:57;23.497 km;77%;25/11/2023 09:08;100%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 7.67 EUR;~ 20 kWh;"0.39 EUR/kWh (All day)";--;4h 58min;Off;;
23/11/2023 18:58;23.414 km;51%;24/11/2023 07:06;100%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 15.77 EUR;~ 40 kWh;"0.39 EUR/kWh  (All day)";--;10h 14min;On;;
23/11/2023 16:41;23.394 km;53%;23/11/2023 17:24;56%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 1.16 EUR;~ 3 kWh;"0.39 EUR/kWh  (All day)";--;42 min;Off;;
23/11/2023 13:30;23.379 km;45%;23/11/2023 16:06;57%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 4.21 EUR;~ 11 kWh;"0.39 EUR/kWh  (All day)";--;2h 35min;Off;;
19/11/2023 22:14;23.263 km;10%;20/11/2023 17:51;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 22.89 EUR;~ 58 kWh;"0.39 EUR/kWh (All day)";--;13h 52min;Off;;
17/11/2023 22:18;23.044 km;51%;18/11/2023 10:46;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 9.26 EUR;~ 24 kWh;"0.39 EUR/kWh  (All day)";--;5h 37min;Off;;
17/11/2023 16:08;23.023 km;42%;17/11/2023 19:32;59%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 5.54 EUR;~ 14 kWh;"0.39 EUR/kWh  (All day)";--;3h 23min;On;;
17/11/2023 12:02;23.008 km;36%;17/11/2023 14:20;46%;Haachtsebaan;Haachtsebaan, 3140 Keerbergen;--;-- EUR;~ 9 kWh;--;--;2h 17min;Off;;
14/11/2023 09:15;22.868 km;25%;14/11/2023 19:40;77%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 17.03 EUR;~ 43 kWh;"0.39 EUR/kWh  (All day)";--;10h 25min;Off;;
09/11/2023 19:27;22.674 km;53%;10/11/2023 08:00;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 9.16 EUR;~ 23 kWh;"0.39 EUR/kWh  (All day)";--;5h 33min;Off;;
06/11/2023 15:27;22.558 km;11%;06/11/2023 17:02;19%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 2.58 EUR;~ 7 kWh;"0.39 EUR/kWh  (All day)";--;1h 33min;Off;;
04/11/2023 08:44;22.289 km;31%;04/11/2023 09:24;87%;HPC/DC Certipower;Koksijdestraat 8 8630 Veurne ;Public;-- EUR;~ 42 kWh;--;--;39 min;Off;;
03/11/2023 11:07;22.277 km;36%;03/11/2023 11:10;36%;HPC/DC Certipower;Koksijdestraat 8 8630 Veurne ;Public;-- EUR;0 kWh;--;--;0 min;Off;;
