Plug-in date;Total mileage;State of charge when plugged in;Unplug date;State of charge when unplugged;Charging location;Location address;US: Tag; Cost* ;Energy charged*;Energy rate 1;Energy rate 2;Charged time;Precondition for departure;;
30/03/2023 13:11;11.561 km;14%;30/03/2023 16:10;34%;AC EVBox;Blarenberglaan 3 2800 Mechelen ;Public;-- EUR;~ 17 kWh;--;--;2h 57min;Off;;
28/03/2023 15:49;11.305 km;38%;28/03/2023 19:53;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 13.64 EUR;~ 35 kWh;"0.39 EUR/kWh  (All day)";--;3h 14min;Off;;
25/03/2023 15:24;11.230 km;17%;25/03/2023 19:00;65%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 15.08 EUR;~ 38 kWh;"0.39 EUR/kWh  (All day)";--;3h 35min;Off;;
25/03/2023 10:46;11.196 km;24%;25/03/2023 10:57;26%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 0.65 EUR;< 2 kWh;"0.39 EUR/kWh  (All day)";--;9 min;Off;;
19/03/2023 10:24;10.985 km;18%;19/03/2023 16:24;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 19.55 EUR;~ 50 kWh;"0.39 EUR/kWh  (All day)";--;4h 37min;Off;;
08/03/2023 14:52;10.787 km;14%;08/03/2023 21:20;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 20.76 EUR;~ 53 kWh;"0.39 EUR/kWh  (All day)";--;4h 58min;Off;;
02/03/2023 00:57;10.625 km;25%;02/03/2023 13:44;80%;Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 17.15 EUR;~ 44 kWh;"0.39 EUR/kWh  (All day)";--;4h 03min;Off;;
