PlugInDate;TotalMileage;SocPluggedin;UnplugDate;SocUnplugged;Cost;Charged;ChargedTime
02/02/2024 21:41;26.977 km;34%;03/02/2024 12:12;80%;~ 15.04 EUR;~ 38 kWh;9h 04min
02/02/2024 17:13;26.954 km;33%;02/02/2024 18:58;41%;~ 2.79 EUR;~ 7 kWh;1h 43min
