PlugInDate;TotalMileage;SocPluggedin;UnplugDate;SocUnplugged;Cost;Charged;ChargedTime
29/05/2023 14:36;15.491 km;30%;29/05/2023 17:27;47%;~ 4.87 EUR;~ 12 kWh;2h 50min
27/05/2023 12:38;15.241 km;55%;27/05/2023 14:49;65%;~ 3.73 EUR;~ 10 kWh;2h 10min
23/05/2023 13:14;14.773 km;56%;23/05/2023 18:38;80%;~ 8.23 EUR;~ 21 kWh;4h 54min
18/05/2023 22:32;14.662 km;50%;19/05/2023 09:39;80%;~ 9.90 EUR;~ 25 kWh;5h 59min
17/05/2023 20:16;14.533 km;59%;18/05/2023 09:04;80%;~ 7.28 EUR;~ 19 kWh;4h 25min
16/05/2023 20:44;14.443 km;45%;17/05/2023 06:36;80%;~ 12.09 EUR;~ 31 kWh;7h 23min
14/05/2023 16:00;14.297 km;26%;15/05/2023 07:43;80%;~ 17.68 EUR;~ 45 kWh;10h 39min
07/05/2023 20:46;14.073 km;43%;09/05/2023 07:07;80%;~ 12.07 EUR;~ 31 kWh;7h 20min
07/05/2023 19:32;14.063 km;41%;07/05/2023 20:28;45%;~ 1.55 EUR;~ 4 kWh;56 min
03/05/2023 11:01;13.913 km;49%;04/05/2023 07:53;80%;~ 10.15 EUR;~ 26 kWh;5h 59min
