PlugInDate;TotalMileage;SocPluggedin;UnplugDate;SocUnplugged;Cost;Charged;ChargedTime
08/06/2023 13:14;15.913 km;38%;08/06/2023 17:33;60%;~ 7.36 EUR;~ 19 kWh;4h 18min
05/06/2023 12:38;15.818 km;32%;05/06/2023 16:54;54%;~ 7.26 EUR;~ 19 kWh;4h 15min
03/06/2023 13:53;15.633 km;76%;03/06/2023 15:19;80%;~ 1.28 EUR;~ 3 kWh;44 min
02/06/2023 12:53;15.620 km;56%;02/06/2023 17:26;78%;~ 7.76 EUR;~ 20 kWh;4h 33min
