PlugInDate;TotalMileage;SocPluggedin;UnplugDate;SocUnplugged;Cost;Charged;ChargedTime
26/02/2023 22:19;10.469 km;23%;27/02/2023 07:08;80%;~ 17.78 EUR;~ 45 kWh;4h 15min
17/02/2023 14:31;9.933 km;37%;17/02/2023 16:36;64%;~ 8.72 EUR;~ 22 kWh;2h 04min
09/02/2023 21:20;9.627 km;15%;10/02/2023 06:37;80%;~ 20.27 EUR;~ 52 kWh;4h 50min
04/02/2023 09:26;9.442 km;39%;04/02/2023 12:29;79%;~ 12.73 EUR;~ 32 kWh;3h 03min
